country,director,language,mins,name,rate,rate_1,rate_2,rate_3,rate_4,rate_5,review_num,year
阿根廷 / 西班牙,达米安·斯兹弗隆,西班牙语,122分钟,荒蛮故事 Relatos salvajes,8.8,0.2%,0.6%,8.5%,41.5%,49.2%,196611,2014
美国 / 澳大利亚,梅尔·吉布森,英语,139分钟(中国大陆),血战钢锯岭 Hacksaw Ridge,8.7,0.2%,0.9%,11.0%,41.8%,46.1%,423124,2016
美国,巴瑞·莱文森,英语 / 意大利语,133分钟,雨人 Rain Man,8.7,0.1%,0.5%,10.0%,45.1%,44.4%,248221,1988
法国 / 英国 / 美国,乔·赖特,英语,129 分钟,傲慢与偏见 Pride & Prejudice,8.5,0.2%,1.1%,13.7%,42.8%,42.1%,386259,2005
中国大陆,忻钰坤,汉语普通话,110分钟(中国大陆),心迷宫,8.7,0.3%,0.8%,9.1%,44.8%,45.1%,245929,2015
日本,是枝裕和,日语,141分钟,无人知晓 誰も知らない,9.1,0.2%,0.4%,5.3%,33.0%,61.1%,107194,2004
美国,达伦·阿伦诺夫斯基,英语 / 法语 / 意大利语,108分钟,黑天鹅 Black Swan,8.5,0.2%,0.9%,12.3%,45.4%,41.2%,508412,2010
美国,克里斯托弗·诺兰,英语,113分钟,记忆碎片 Memento,8.6,0.3%,1.1%,12.1%,42.6%,43.9%,345130,2000
香港,吴宇森,粤语 / 汉语普通话 / 英语,95分钟,英雄本色,8.6,0.1%,0.6%,11.3%,43.1%,44.9%,240332,2017
英国 / 美国,丹尼·博伊尔,英语 / 印地语 / 法语,120 分钟,贫民窟的百万富翁 Slumdog Millionaire,8.5,0.2%,0.8%,12.7%,44.9%,41.5%,466458,2009
香港 / 台湾,王家卫,粤语 / 汉语普通话,100分钟,东邪西毒 東邪西毒,8.6,0.5%,1.4%,12.8%,38.4%,46.9%,326505,1994
台湾 / 美国,李安,汉语普通话 / 英语,108分钟,喜宴 囍宴,8.9,0.1%,0.3%,7.0%,42.1%,50.6%,177702,1993
日本,高畑勋,日语,89 分钟,萤火虫之墓 火垂るの墓,8.7,1.3%,1.7%,10.9%,33.5%,52.6%,250497,1988
美国,柯克·德·米科,英语,98分钟,疯狂原始人 The Croods,8.7,0.2%,0.7%,11.9%,40.0%,47.2%,470737,2013
美国 / 德国,保罗·格林格拉斯,英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,115分钟,谍影重重3 The Bourne Ultimatum,8.7,0.1%,0.5%,10.6%,39.7%,49.1%,231213,2007
英国 / 美国 / 法国,理查德·柯蒂斯,英语 / 葡萄牙语 / 法语,135 分钟,真爱至上 Love Actually,8.6,0.3%,1.3%,14.5%,38.5%,45.4%,399429,2003
美国,茂文·勒鲁瓦,英语 / 法语,108分钟,魂断蓝桥 Waterloo Bridge,8.8,0.1%,0.4%,9.5%,40.4%,49.5%,153733,1940
美国,达米恩·查泽雷,英语,107分钟,爆裂鼓手 Whiplash,8.6,0.4%,1.1%,11.4%,40.4%,46.7%,295867,2014
日本,细田守,日语,98分钟,穿越时空的少女 時をかける少女,8.6,0.2%,0.9%,12.5%,40.6%,45.9%,227121,2006
美国,史蒂文·斯皮尔伯格,英语,146分钟,人工智能 Artificial Intelligence: AI,8.6,0.3%,1.3%,13.0%,38.9%,46.6%,237822,2001
美国,瑞奇·摩尔,英语,101分钟,无敌破坏王 Wreck-It Ralph,8.7,0.1%,0.7%,11.4%,40.1%,47.6%,269754,2012
美国,杰茜·尼尔森,英语,132 分钟,我是山姆 I Am Sam,8.9,0.1%,0.5%,8.7%,38.0%,52.7%,135122,2001
美国,斯坦利·多南,英语,103分钟,雨中曲 Singin' in the Rain,9.0,0.1%,0.4%,7.5%,34.5%,57.5%,113386,1952
美国,卡洛斯·沙尔丹哈,英语 / 克罗地亚语,81 分钟,冰川时代 Ice Age,8.5,0.1%,0.6%,12.9%,47.6%,38.9%,343310,2002
美国,昆汀·塔伦蒂诺,英语 / 法语 / 德语,163分钟(中国大陆),被解救的姜戈 Django Unchained,8.6,0.2%,0.8%,11.2%,43.7%,44.1%,321765,2013
美国,彼特·道格特,英语,95分钟,头脑特工队 Inside Out,8.7,0.2%,1.1%,12.0%,37.1%,49.5%,304096,2015
中国大陆,郭柯,汉语普通话,99分钟(公映版),二十二,8.7,0.5%,1.5%,11.8%,33.7%,52.4%,147403,2017
美国,爱德华·兹威克,英语 / 科尼什语,133分钟,燃情岁月 Legends of the Fall,8.7,0.3%,1.0%,10.9%,36.3%,51.4%,172830,1994
日本,藤森雅也,日语,90分钟,你看起来好像很好吃 おまえうまそうだな,8.8,0.2%,0.7%,9.8%,36.0%,53.4%,185011,2010
美国,尼克·卡萨维茨,英语,123分钟,恋恋笔记本 The Notebook,8.5,0.3%,1.3%,14.6%,40.9%,42.8%,353301,2004
法国 / 英国,热拉尔·乌里,法语 / 英语 / 德语,132分钟,虎口脱险 La grande vadrouille,8.9,0.3%,0.8%,9.0%,32.6%,57.4%,129516,1966
法国 / 瑞士 / 西班牙 / 美国 / 阿联酋,雅克·贝汉,法语 / 英语,104分钟(法国),海洋 Océans,9.0,0.2%,0.5%,7.6%,31.0%,60.8%,111102,2011
印度,阿米尔·汗,印地语 / 英语,165分钟,地球上的星星 Taare Zameen Par,8.9,0.2%,0.7%,8.9%,35.8%,54.4%,107911,2007
台湾,杨德昌,汉语普通话 / 闽南语 / 上海话 / 粤语,237分钟(导演剪辑版),牯岭街少年杀人事件 牯嶺街少年殺人事件,8.8,0.4%,1.3%,10.5%,34.2%,53.5%,134561,1991
美国 / 德国,保罗·格林格拉斯,英语 / 俄语 / 德语 / 意大利语,108分钟,谍影重重2 The Bourne Supremacy,8.6,0.1%,0.5%,11.6%,44.8%,43.0%,199330,2004
美国 / 法国,安德鲁·尼科尔,英语 / 法语 / 德语 / 俄语 / 西班牙语 / 乌克兰语 / 阿拉伯语 / 土耳其语 / 汉语普通话,122 分钟,战争之王 Lord of War,8.6,0.1%,0.7%,11.9%,44.4%,42.9%,207763,2005
美国 / 德国 / 捷克,道格·里曼,英语 / 法语 / 德语 / 荷兰语 / 意大利语,119分钟,谍影重重 The Bourne Identity,8.5,0.1%,0.7%,13.3%,43.9%,41.9%,238429,2002
日本,是枝裕和,日语,127分钟,海街日记 海街diary,8.7,0.1%,0.5%,9.8%,43.2%,46.3%,184721,2015
美国 / 澳大利亚,莉莉·沃卓斯基,英语 / 法语,129 分钟,黑客帝国3：矩阵革命 The Matrix Revolutions,8.6,0.3%,1.2%,13.4%,38.1%,47.0%,200660,2003
中国大陆 / 香港,陆川,汉语普通话 / 藏语,85分钟(中国大陆),可可西里,8.7,0.2%,0.7%,10.2%,40.9%,47.9%,158105,2004
中国大陆,严定宪,汉语普通话,65分钟,哪吒闹海,8.9,0.1%,0.6%,9.4%,32.8%,57.1%,107754,1979
美国 / 德国,史蒂芬·戴德利,英语 / 德语 / 希腊语 / 拉丁语,124 分钟,朗读者 The Reader,8.5,0.1%,0.7%,12.4%,46.7%,40.2%,317249,2008
德国,丹尼斯·甘塞尔,德语,107 分钟,浪潮 Die Welle,8.7,0.2%,0.7%,9.5%,41.9%,47.7%,161010,2008
德国 / 法国 / 西班牙 / 美国,汤姆·提克威,英语,147分钟,香水 Perfume: The Story of a Murderer,8.4,0.5%,1.5%,13.9%,43.3%,40.9%,335263,2006
日本,宫崎骏,日语,103分钟,魔女宅急便 魔女の宅急便,8.5,0.1%,0.4%,12.8%,45.8%,40.9%,249822,1989
英国 / 澳大利亚,克里斯托弗·史密斯,英语,99 分钟,恐怖游轮 Triangle,8.4,0.4%,1.5%,15.0%,44.2%,38.8%,412542,2009
香港,王家卫,粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,94分钟,阿飞正传 阿飛正傳,8.5,0.2%,0.8%,12.6%,46.8%,39.7%,267076,2018
美国 / 英国,马丁·麦克唐纳,英语,115分钟,"三块广告牌 Three Billboards Outside Ebbing, Missouri",8.7,0.2%,0.7%,9.4%,43.5%,46.2%,421961,2018
美国 / 德国,爱德华·兹威克,英语 / 门德语 / 南非荷兰语,143 分钟,血钻 Blood Diamond,8.6,0.1%,0.5%,11.0%,47.3%,41.0%,171781,2006
美国 / 法国,雷德利·斯科特,英语,130 分钟,末路狂花 Thelma & Louise,8.7,0.2%,0.7%,10.2%,40.3%,48.6%,126601,1991
美国,史蒂文·斯皮尔伯格,英语,115分钟,E.T. 外星人 E.T.: The Extra-Terrestrial,8.5,0.2%,0.7%,12.7%,45.1%,41.4%,193466,1982
美国 / 英国,詹姆斯·沃德·布柯特,英语,89分钟,彗星来的那一夜 Coherence,8.5,0.4%,1.3%,13.4%,44.7%,40.1%,242919,2013
美国,理查德·沙因克曼,英语,87 分钟,这个男人来自地球 The Man from Earth,8.5,0.9%,2.2%,14.1%,37.1%,45.8%,226623,2007
美国,弗兰克·德拉邦特,英语 / 法语,189 分钟,绿里奇迹 The Green Mile,8.7,0.3%,1.0%,11.2%,38.3%,49.3%,131663,1999
美国 / 德国,昆汀·塔伦蒂诺,英语 / 德语 / 法语 / 意大利语,153分钟,无耻混蛋 Inglourious Basterds,8.5,0.4%,1.2%,12.9%,44.8%,40.7%,268775,2009
美国,查理·卓别林,英语,87 分钟,城市之光 City Lights,9.3,0.1%,0.2%,4.4%,27.2%,68.0%,58297,1931
美国 / 希腊,理查德·林克莱特,英语 / 希腊语 / 法语,109分钟,爱在午夜降临前 Before Midnight,8.8,0.4%,1.1%,10.4%,34.8%,53.3%,148549,2013
日本,小津安二郎,日语,136 分钟,东京物语 東京物語,9.2,0.3%,0.4%,5.3%,27.7%,66.4%,65128,1953
泰国,普特鹏·普罗萨卡·那·萨克那卡林,泰语 / 印度尼西亚语 / 英语,118分钟(泰国),初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,8.3,0.4%,1.7%,17.6%,42.2%,38.1%,572483,2012
美国,达伦·阿伦诺夫斯基,英语,102分钟,梦之安魂曲 Requiem for a Dream,8.7,0.5%,1.3%,10.6%,35.9%,51.7%,134310,2000
香港 / 中国大陆,李惠民,汉语普通话 / 粤语,88分钟,新龙门客栈 新龍門客棧,8.5,0.1%,0.7%,12.6%,46.3%,40.3%,233005,2012
日本,是枝裕和,日语,115分钟,步履不停 歩いても 歩いても,8.8,0.2%,0.5%,8.2%,40.8%,50.3%,119245,2008
美国 / 加拿大,邓肯·琼斯,英语,93分钟,源代码 Source Code,8.4,0.1%,0.8%,14.4%,49.3%,35.4%,485646,2011
日本,押井守,日语,83分钟,攻壳机动队 攻殻機動隊,8.9,0.3%,0.7%,8.6%,32.3%,58.1%,74962,1995
美国,加文·欧康诺,英语,140分钟,勇士 Warrior,8.9,0.3%,0.7%,8.9%,35.0%,55.0%,101640,2011
香港,杜琪峰,粤语,84分钟(香港),枪火 鎗火,8.7,0.3%,0.9%,11.4%,40.0%,47.4%,121841,1999
